8│ул. Садовая 1-я
14│ул. Садовая 2-я
15│ул. 3 Интернационала
20│ул. Садовая 3-я
23│ул. Полевая 4-я
24│ул. Садовая 4-я
25│ул. Садовая 5-я
26│ул. Кирилловская 6-я
27│ул. Садовая 6-я
28│ул. Садовая 8-я
29│ул. Авксентьевского
31│ул. Ананьинская
37│ул. Архангельская
38│ул. Баранковская
39│ул. Батюшкова
40│ул. Беляева
41│ул. Береговая
42│ул. Благовещенская
43│ул. Болонина
45│ул. Бурмагиных
46│ул. Варенцовой
48│ул. Ветка Пристань
49│ул. Ветошкина
51│ул. Водников
52│ул. Возрождения
53│ул. Вологодская
54│ул. Воркутинская
55│ул. Воровского
56│ул. Воронежская
57│ул. Восточная
58│ул. Гагарина
59│ул. Галкинская
60│ул. Герцена
61│ул. Гиляровского
63│ул. Говоровская
68│ул. Гоголя
69│ул. Гончарная
70│ул. Горка
71│ул. Городской Вал
72│ул. Горького
73│ул. Граничная
76│ул. Дальняя
77│ул. Дачная
79│ул. Детская
81│ул. Дзержинского
82│ул. Добролюбова
84│ул. Доронинская
85│ул. Дубровская
86│ул. Дьяконовская
87│ул. Евковская
88│ул. Екимцевская
89│ул. Ершовская
91│ул. Ефимьевская
93│ул. Завражская
95│ул. Загородная
96│ул. Заливная
97│ул. Залинейная
98│ул. Западная
100│ул. Заречная
102│ул. Засодимского
104│ул. Зеленая
105│ул. Зосимовская
106│ул. Ильюшина
108│ул. Индустриальная
111│ул. Казакова
112│ул. Канифольная
113│ул. Карла Маркса
114│ул. Кирова
116│ул. Кирпичная
117│ул. Клубова
118│ул. Козленская
120│ул. Коммунистическая
121│ул. Комсомольская
123│ул. Коничева
124│ул. Копанка
125│ул. Копрецовская
126│ул. Короткая
127│ул. Костромская
129│ул. Красноармейская
132│ул. Крюк
133│ул. Кубенская
134│ул. Кувшиновская
135│ул. Куролит
136│ул. Кутузова
137│ул. Лаврова
138│ул. Левичева
139│ул. Ленина
142│ул. Ленинградская
144│ул. Лермонтова
145│ул. Лесобиржа
146│ул. Лечебная
148│ул. Ловенецкого
150│ул. Луговая
151│ул. Лукьяновская
152│ул. Луначарского
154│ул. М.И.Ульяновой
155│ул. Маршала Конева
157│ул. Сибирская М.
158│ул. Мальцева
159│ул. Машиностроительная
161│ул. Маяковского
162│ул. Медуницинская
164│ул. Мира
165│ул. Мишкольцская
166│ул. Можайского
167│ул. Молодежная
169│ул. Московская
171│ул. Мохова
172│ул. Мудрова
173│ул. Набережная
175│ул. Народная
176│ул. Некрасова
178│ул. Новгородская
181│ул. Образцова
182│ул. Овражная
185│ул. Одесская
187│ул. Октябрьская
188│ул. Ольховая
190│ул. Осановская
192│ул. Открытая
193│ул. Охмыльцевская
194│ул. Панкратова
198│ул. Чернышевского
199│ул. Первомайская
204│ул. Петина
205│ул. Петрозаводская
206│ул. Пирогова
207│ул. Планерная
210│ул. Полевая
211│ул. Полярная
213│ул. Поселковая
215│ул. Почтовая
218│ул. Предтеченская
219│ул. Преображенского
220│ул. Пречистенская
221│ул. Пригородная
222│ул. Прилуцкая
223│ул. Проектируемая
225│ул. Прокатова
226│ул. Пролетарская
227│ул. Промплощадка
228│ул. Промышленная
232│ул. Прядильщиков
234│ул. Псковская
235│ул. Пугачева
236│ул. Путейская
237│ул. Пушкинская
